Book Name,Publisher,Author,Discounted Price,Discount Percentage,New Price,Discounted Percentage
Aşk Oyunu,Evrim Yayınevi,Osman Aysu,"100,00",33,"67,00",
Zorlu Osmanlı,Elips Kitap,Yılmaz Gürbüz,"164,00",33,"109,88",
Yaşayan Mazimiz - Darüşşafaka,Pozitif Yayınları,Serpil Tunçer,"300,00",25,"225,00",
Akıllı Bilginler - Teknoloji Keşifleri,Çocuk Gezegeni,Sarah Maria Brown,"80,00",39,"48,80",
Babalar ve Oğullar,İnkılap Kitabevi,Nihat Sırdar,"150,00",49,"76,50",
Görünenin Ötesinde,Fa Yayınları,Mustafa Ağcan,"120,00",23,"92,40",
Çağdaş Sanat Var Mı?,Everest Yayınları,Ayşegül Sönmez,"145,00",35,"94,25",
1984,Tema Yayınları,George Orwell,"124,00",29,"88,04",
Kitabhane-i Sudi’nin Edebi Hikayelerinden Genç ve Güzel,Ihlamur,Orhan Midhat,"100,00",23,"77,00",
Mavi Işık 3,Ahbap Kitap,Mehmet Tevfik Temiztürk,"150,00",38,"93,00",
İtaatkar Serisi Takım Set 2 Kitap,Pegasus Yayınları,Tara Sue Me,"300,00",40,"180,00",
Aşık Olan Neylesin?,Mecra Kitap,Serdar Tuncer,"135,00",29,"95,85",
Akıllı Bilginler - Mucitler,Çocuk Gezegeni,Sarah Maria Brown,"80,00",48,"41,60",
Petrikor,Tilki Kitap,Leman Memmedhesenli,"105,00",33,"70,35",
Kalemimin İlhamı,Tilki Kitap,Faruk Yağcı,"102,00",33,"68,34",
Umut Güneşin Ardında – Yıldızlardan Gelen Mesaj,Tilki Kitap,Alper Yıldız,"119,00",33,"79,73",
Heba Ettiğin Yerdeyim,Tilki Kitap,Mehmet Ali Demir,"136,00",33,"91,12",
Hoçvan’ın Gülü,Kora Yayın,Yılmaz Şit,"60,00",33,"40,20",
Kaşifin Güncesi Serisi Takım Set 2 Kitap,Pegasus Yayınları,Thomas Thiemeyer,"300,00",40,"180,00",
Oscar Pill Serisi Takım Set 2 Kitap,Pegasus Yayınları,Eli Anderson,"590,00",60,"236,00",
Ece Tatilde - Slovenya,Tilki Kitap,Tuğba Turhan,"95,00",33,"63,65",
Yanım Kalan Şeyler,Tilki Kitap,Eylül Fidan Arslan,"117,00",33,"78,39",
Pusulasız Yön,Can Yayınları (Ali Adil Atalay),İzzet Çetin,"80,00",32,"54,40",
Karanlığın Güzelliği,Can Yayınları (Ali Adil Atalay),Saygın Şahin,"60,00",32,"40,80",
Kartallar Takımı,Bu Yayınevi,Cahit Kaya,,,"15,00",
Binbir Gece Masalları 2 Cilt Takım,Doruk Yayınları,Anonim,"800,00",29,"568,00",
Söz Vatan Olunca - Deli Çocuk,Bağcı Yayınları,Naci Bağcı,,,"10,00",
Takım Ruhu,Bu Yayınevi,Ülker Kurtcan,,,"9,00",
Pastane İkizleri - Eskişehir Roma İstanbul,Tilki Kitap,Yılmaz Örmeci,"178,00",33,"119,26",
Savaşın Soluğu,Ayyıldız Basım Yayın,H. Zekai Yiğitler,,,"44,00",
Güneş Ülkesinde Diriliş - Özgürlüğe Doğuş 3,Payiz Yayınları,İrfan Güler,,,"174,00",
O`na Şiirler,Arkeoloji ve Sanat Yayınları,Melda Taşan,"20,00",20,"16,00",
Sevgi Boyu Yol,Can Yayınları (Ali Adil Atalay),İzzet Çetin,"80,00",32,"54,40",
Ah Be Hayat!..,Arşiv,Durmuş Ali Yılmaz,,,"20,00",
Sherlock Holmes 12 - Bruce Partington Planları,Kiço Yayınları,Sir Arthur Conan Doyle,,,"17,50",
Sherlock Holmes 10 - Zümrüt Taç,Kiço Yayınları,Sir Arthur Conan Doyle,,,"17,50",
Yağmur Altında Sevişsek,Yaprak Yayınları,Süheyla Taşçıer,"60,00",33,"40,20",
Kıvırcık Yıldız Masalı,Gece Kitaplığı,Tülay Kumkar Malkoç,"102,00",38,"63,24",
Sherlock Holmes 3 - Sussex Vampiri,Kiço Yayınları,Sir Arthur Conan Doyle,,,"17,50",
Pinokyo,Dünya Bizim Kitaplığı,Carlo Collodi,"45,00",29,"31,95",
Leonora: Bitmeyen Göç,Büyükada Yayıncılık,Deniz Kurbanzade,,,"35,00",
Ölü Vakitleri Yaşamak,Cinius Yayınları,Sema Gürevin,"56,00",32,"38,08",
Stalin’le Konuşmalar,Dorlion Yayınları,Milovan Djilas,"140,00",38,"86,80",
Ekmek Arası Hayaller,Gece Kitaplığı,Alper Onar,"172,00",38,"106,64",
Sırça Köşk,Gönül Yayıncılık,Sabahattin Ali,"62,50",34,"41,25",
Herşeye Rağmen,Bilimkent Yayınları,Arslan Üstün,"110,00",23,"84,70",
Aşk-ı Eşar,Uğur Tuna Yayınları,Ayşe Akpınar,"9,26",28,"6,67",
Esrarname,Tablet Kitabevi,Feridüddin Attar,"30,00",27,"21,90",
Gece Yolcuları,Meşe Kitaplığı,Seyit Torun,"100,00",23,"77,00",
Tuz Kokmuşsa,Alp Yayınevi,Nazmi Karataş,,,"20,00",
Aklıma Gelenler - Tırcı`nın Günlüğü,Bağcı Yayınları,Naci Bağcı,,,"15,00",
Pembeden Başka Renkler,Ceylan Yayınları,Oya Uslu,"80,00",29,"56,80",
Kasırga ve Yaprak,Yarın Yayınları,Dilhad Fırat,"50,00",29,"35,50",
Seçme Öyküler 2,Gönül Yayıncılık,Kolektif,"62,50",34,"41,25",
Sherlock Holmes 13 - Benekli Kordon,Kiço Yayınları,Sir Arthur Conan Doyle,,,"17,50",
Bir Delinin Hatıra Defteri,İASOS Kitap,Nikolay Vasilyeviç Gogol,,,"15,00",
Sherlock Holmes: Kayıp Ragbi Oyuncusu,Kiço Yayınları,Sir Arthur Conan Doyle,,,"17,50",
Sıradan İnsan,Cinius Yayınları,Halil Ünal,"130,00",32,"88,40",
